Stamp, X, Y, Z, Yaw
153.949000000, 0.00273698, -0.00907059, -0.0853074, -0.0488574
153.985000000, 0.00278626, -0.00915937, -0.0840348, -0.048866
154.019000000, 0.00287439, -0.00926209, -0.0825254, -0.0488691
154.053000000, 0.00294457, -0.00934927, -0.080888, -0.048868
154.087000000, 0.00299444, -0.00944011, -0.0791366, -0.0488512
154.119000000, 0.00298874, -0.00953173, -0.0763523, -0.0488467
154.153000000, 0.00300379, -0.00960617, -0.0750339, -0.048837
154.185000000, 0.00304694, -0.00968792, -0.0749457, -0.0488148
154.219000000, 0.00308993, -0.00976318, -0.0745542, -0.0487997
154.251000000, 0.00314964, -0.00984197, -0.0738093, -0.0487943
154.287000000, 0.00319296, -0.00990692, -0.0730398, -0.048807
154.321000000, 0.0032435, -0.0099702, -0.0717727, -0.0488322
154.355000000, 0.00332066, -0.0100423, -0.0702232, -0.0488402
154.389000000, 0.00338139, -0.0101046, -0.0679439, -0.0488791
154.423000000, 0.00346167, -0.0101704, -0.0656163, -0.0489194
154.455000000, 0.0035495, -0.0102316, -0.0664815, -0.0489274
154.489000000, 0.00350799, -0.0100788, -0.0690565, -0.0489487
154.523000000, 0.00345389, -0.00988479, -0.071853, -0.0489829
154.555000000, 0.00340203, -0.0097027, -0.0739162, -0.0490025
154.591000000, 0.00339107, -0.00955057, -0.0752902, -0.0490762
154.625000000, 0.00337816, -0.00940656, -0.0766879, -0.0491391
154.663000000, 0.00337588, -0.00924377, -0.0794487, -0.0491679
154.697000000, 0.00332966, -0.00914708, -0.0806725, -0.0492123
154.733000000, 0.00327495, -0.00906469, -0.0815528, -0.0492458
154.773000000, 0.00325, -0.00899625, -0.0823182, -0.0492644
154.801000000, 0.00321819, -0.0089142, -0.0821986, -0.0492859
154.835000000, 0.0032205, -0.00886187, -0.0815465, -0.0492944
154.869000000, 0.00326077, -0.00883824, -0.0811728, -0.0492941
154.905000000, 0.00316601, -0.00872425, -0.0805323, -0.0493004
154.939000000, 0.0030572, -0.00860081, -0.0799376, -0.0493074
