Stamp, Min, Max, Current, Mean
224.487000000, 2, 3, 0.321339, 0.321339
224.521000000, 2, 3, 0.32116, 0.321249
224.553000000, 2, 3, 0.321162, 0.32122
224.585000000, 2, 3, 0.321163, 0.321206
224.619000000, 2, 3, 0.321412, 0.321247
224.653000000, 2, 3, 0.321977, 0.321369
224.689000000, 2, 3, 0.322899, 0.321587
224.723000000, 2, 3, 0.32396, 0.321884
224.757000000, 2, 3, 0.324987, 0.322229
224.791000000, 2, 3, 0.325874, 0.322593
224.827000000, 2, 3, 0.326177, 0.322919
224.861000000, 2, 3, 0.326492, 0.323217
224.893000000, 2, 3, 0.326986, 0.323507
224.927000000, 2, 3, 0.327619, 0.3238
224.963000000, 2, 3, 0.328676, 0.324125
224.995000000, 2, 3, 0.329611, 0.324468
225.029000000, 2, 3, 0.331051, 0.324856
225.063000000, 2, 3, 3.1921, 0.484147
225.097000000, 2, 3, 3.19199, 0.626665
225.129000000, 2, 3, 3.19192, 0.754928
225.163000000, 2, 3, 3.19191, 0.870975
225.197000000, 2, 3, 3.1919, 0.976471
225.231000000, 2, 3, 0.32633, 0.948204
225.263000000, 2, 3, 0.318759, 0.921977
225.297000000, 2, 3, 0.316334, 0.897751
225.331000000, 2, 3, 0.320427, 0.875547
225.365000000, 2, 3, 0.326385, 0.855207
225.565000000, 2, 3, 0.317324, 0.838908
225.599000000, 2, 3, 0.318578, 0.823604
225.633000000, 2, 3, 0.319918, 0.809213
225.665000000, 2, 3, 0.320982, 0.795651
225.699000000, 2, 3, 0.321512, 0.782836
225.731000000, 2, 3, 0.322029, 0.77071
225.767000000, 2, 3, 0.322082, 0.759207
225.799000000, 2, 3, 0.321923, 0.748275
225.831000000, 2, 3, 0.321463, 0.737865
225.865000000, 2, 3, 0.321512, 0.727951
225.899000000, 2, 3, 0.320933, 0.718486
225.931000000, 2, 3, 0.319699, 0.709422
225.965000000, 2, 3, 0.31803, 0.700725
225.999000000, 2, 3, 0.317236, 0.692388
226.031000000, 2, 3, 0.316483, 0.68439
226.065000000, 2, 3, 0.316169, 0.676719
226.099000000, 2, 3, 0.316144, 0.66936
226.133000000, 2, 3, 0.316233, 0.662298
226.167000000, 2, 3, 0.316416, 0.655516
226.199000000, 2, 3, 0.317064, 0.649007
226.233000000, 2, 3, 0.318174, 0.642765
226.267000000, 2, 3, 0.319808, 0.636784
226.299000000, 2, 3, 0.322183, 0.631064
226.333000000, 2, 3, 0.324463, 0.625589
226.367000000, 2, 3, 0.328158, 0.620371
226.399000000, 2, 3, 3.19202, 0.66471
226.433000000, 2, 3, 3.19155, 0.707538
226.467000000, 2, 3, 3.19118, 0.748932
226.499000000, 2, 3, 3.1909, 0.788964
226.533000000, 2, 3, 3.1907, 0.827701
226.565000000, 2, 3, 3.19059, 0.865208
226.599000000, 2, 3, 3.19056, 0.901541
226.633000000, 2, 3, 3.19059, 0.936757
226.665000000, 2, 3, 3.19067, 0.970908
226.701000000, 2, 3, 3.19082, 1.00404
226.733000000, 2, 3, 3.19103, 1.0362
226.767000000, 2, 3, 0.32358, 1.02587
226.799000000, 2, 3, 0.326636, 1.01589
226.833000000, 2, 3, 0.330027, 1.00623
226.867000000, 2, 3, 3.1919, 1.03658
226.899000000, 2, 3, 3.19155, 1.0661
226.933000000, 2, 3, 3.1913, 1.09482
226.967000000, 2, 3, 3.191, 1.12277
227.001000000, 2, 3, 3.1908, 1.14998
227.033000000, 2, 3, 3.19066, 1.17648
227.067000000, 2, 3, 3.19057, 1.20231
227.099000000, 2, 3, 3.19051, 1.22747
227.133000000, 2, 3, 3.19055, 1.25201
227.169000000, 2, 3, 3.1906, 1.27594
227.201000000, 2, 3, 3.19065, 1.29929
227.235000000, 2, 3, 3.19073, 1.32208
227.267000000, 2, 3, 3.19081, 1.34433
227.303000000, 2, 3, 3.19101, 1.36605
227.335000000, 2, 3, 3.19111, 1.38728
227.367000000, 2, 3, 0.324472, 1.37506
227.401000000, 2, 3, 0.325208, 1.36313
227.435000000, 2, 3, 0.327936, 1.3515
227.469000000, 2, 3, 0.330297, 1.34015
227.501000000, 2, 3, 0.330289, 1.32905
227.533000000, 2, 3, 0.328344, 1.31818
227.569000000, 2, 3, 0.326189, 1.30751
227.601000000, 2, 3, 0.324683, 1.29706
227.635000000, 2, 3, 0.323679, 1.28681
227.667000000, 2, 3, 0.323109, 1.27677
227.701000000, 2, 3, 0.322703, 1.26693
227.735000000, 2, 3, 0.322585, 1.2573
